sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ISG20","Approved symbol","ISG20","interferon stimulated exonuclease gene 20","HGNC:6130","15q26.1"
"SAMD9","Approved symbol","SAMD9","sterile alpha motif domain containing 9","HGNC:1348","7q21.2"
"IFITM1","Approved symbol","IFITM1","interferon induced transmembrane protein 1","HGNC:5412","11p15.5"
"PYCARD","Approved symbol","PYCARD","PYD and CARD domain containing","HGNC:16608","16p11.2"
"OAS3","Approved symbol","OAS3","2'-5'-oligoadenylate synthetase 3","HGNC:8088","12q24.13"
"OAS1","Approved symbol","OAS1","2'-5'-oligoadenylate synthetase 1","HGNC:8086","12q24.13"
"IFIT1","Approved symbol","IFIT1","interferon induced protein with tetratricopeptide repeats 1","HGNC:5407","10q23.31"
"IFI44","Approved symbol","IFI44","interferon induced protein 44","HGNC:16938","1p31.1"
"IFIH1","Approved symbol","IFIH1","interferon induced with helicase C domain 1","HGNC:18873","2q24.2"
"CMTM4","Approved symbol","CMTM4","CKLF like MARVEL transmembrane domain containing 4","HGNC:19175","16q22.1-q22.3"
"UBE2L6","Approved symbol","UBE2L6","ubiquitin conjugating enzyme E2 L6","HGNC:12490","11q12.1"
"PRIC285","Alias symbol","HELZ2","helicase with zinc finger 2","HGNC:30021","20q13.33"
"KIAA0114","Previous symbol","DANCR","differentiation antagonizing non-protein coding RNA","HGNC:28964","4q12"
"IFIT5","Approved symbol","IFIT5","interferon induced protein with tetratricopeptide repeats 5","HGNC:13328","10q23.31"
"MX2","Approved symbol","MX2","MX dynamin like GTPase 2","HGNC:7533","21q22.3"
"FBXL18","Approved symbol","FBXL18","F-box and leucine rich repeat protein 18","HGNC:21874","7p22.1"
"UBA7","Approved symbol","UBA7","ubiquitin like modifier activating enzyme 7","HGNC:12471","3p21.31"
"DDX60L","Approved symbol","DDX60L","DExD/H-box 60 like","HGNC:26429","4q32.3"
"PLSCR1","Approved symbol","PLSCR1","phospholipid scramblase 1","HGNC:9092","3q24"
"DDX60","Approved symbol","DDX60","DExD/H-box helicase 60","HGNC:25942","4q32.3"
"PARP9","Approved symbol","PARP9","poly(ADP-ribose) polymerase family member 9","HGNC:24118","3q21.1"
"LGALS3BP","Approved symbol","LGALS3BP","galectin 3 binding protein","HGNC:6564","17q25"
"NUAK2","Approved symbol","NUAK2","NUAK family kinase 2","HGNC:29558","1q32.1"
"RNF213","Approved symbol","RNF213","ring finger protein 213","HGNC:14539","17q25.3"
"BST2","Approved symbol","BST2","bone marrow stromal cell antigen 2","HGNC:1119","19p13.11"
"TRANK1","Approved symbol","TRANK1","tetratricopeptide repeat and ankyrin repeat containing 1","HGNC:29011","3p22.2"
"IRF9","Approved symbol","IRF9","interferon regulatory factor 9","HGNC:6131","14q12"
"IRF7","Approved symbol","IRF7","interferon regulatory factor 7","HGNC:6122","11p15.5"
"SP110","Approved symbol","SP110","SP110 nuclear body protein","HGNC:5401","2q37.1"
"SP110","Alias symbol","PMP22","peripheral myelin protein 22","HGNC:9118","17p12"
"PARP10","Approved symbol","PARP10","poly(ADP-ribose) polymerase family member 10","HGNC:25895","8q24.3"
"ERRFI1","Approved symbol","ERRFI1","ERBB receptor feedback inhibitor 1","HGNC:18185","1p36.23"
"IFI35","Approved symbol","IFI35","interferon induced protein 35","HGNC:5399","17q21.31"
"GSDMD","Approved symbol","GSDMD","gasdermin D","HGNC:25697","8q24.3"
"DHX58","Approved symbol","DHX58","DExH-box helicase 58","HGNC:29517","17q21.2"
"RARRES3","Previous symbol","PLAAT4","phospholipase A and acyltransferase 4","HGNC:9869","11q12.3"
"CD68","Approved symbol","CD68","CD68 molecule","HGNC:1693","17p13.1"
"SLC15A3","Approved symbol","SLC15A3","solute carrier family 15 member 3","HGNC:18068","11q12.2"
"DOCK8","Approved symbol","DOCK8","dedicator of cytokinesis 8","HGNC:19191","9p24.3"
"IL4R","Approved symbol","IL4R","interleukin 4 receptor","HGNC:6015","16p12.1"
"RNASE6","Approved symbol","RNASE6","ribonuclease A family member k6","HGNC:10048","14q11.2"
"EVI2A","Approved symbol","EVI2A","ecotropic viral integration site 2A","HGNC:3499","17q11.2"
"AHR","Approved symbol","AHR","aryl hydrocarbon receptor","HGNC:348","7p21.1"
"TMC6","Approved symbol","TMC6","transmembrane channel like 6","HGNC:18021","17q25.3"
"CCND2","Approved symbol","CCND2","cyclin D2","HGNC:1583","12p13.32"
"PIK3R5","Approved symbol","PIK3R5","phosphoinositide-3-kinase regulatory subunit 5","HGNC:30035","17p13.1"
"CECR1","Previous symbol","ADA2","adenosine deaminase 2","HGNC:1839","22q11.1"
"ITGAM","Approved symbol","ITGAM","integrin subunit alpha M","HGNC:6149","16p11.2"
"PSMB8","Approved symbol","PSMB8","proteasome 20S subunit beta 8","HGNC:9545","6p21.32"
"HMOX1","Approved symbol","HMOX1","heme oxygenase 1","HGNC:5013","22q12.3"
"AMPD3","Approved symbol","AMPD3","adenosine monophosphate deaminase 3","HGNC:470","11p15.4"
"GCH1","Approved symbol","GCH1","GTP cyclohydrolase 1","HGNC:4193","14q22.2"
"ARHGDIB","Approved symbol","ARHGDIB","Rho GDP dissociation inhibitor beta","HGNC:679","12p12.3"
"SLC31A2","Approved symbol","SLC31A2","solute carrier family 31 member 2","HGNC:11017","9q32"
"FAM105A","Previous symbol","OTULINL","OTU deubiquitinase with linear linkage specificity like","HGNC:25629","5p15.2"
"MS4A6A","Approved symbol","MS4A6A","membrane spanning 4-domains A6A","HGNC:13375","11q12.2"
"KLHL5","Approved symbol","KLHL5","kelch like family member 5","HGNC:6356","4p14"
"C5AR1","Approved symbol","C5AR1","complement C5a receptor 1","HGNC:1338","19q13.32"
"MFNG","Approved symbol","MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","HGNC:7038","22q13.1"
"TTLL12","Approved symbol","TTLL12","tubulin tyrosine ligase like 12","HGNC:28974","22q13.2"
"RAC3","Approved symbol","RAC3","Rac family small GTPase 3","HGNC:9803","17q25.3"
"RAC3","Alias symbol","NCOA3","nuclear receptor coactivator 3","HGNC:7670","20q13.12"
"KCTD12","Approved symbol","KCTD12","potassium channel tetramerization domain containing 12","HGNC:14678","13q22.3"
"SEPT5","Previous symbol","SEPTIN5","septin 5","HGNC:9164","22q11.21"
"ALDH3B1","Approved symbol","ALDH3B1","aldehyde dehydrogenase 3 family member B1","HGNC:410","11q13.2"
"FLI1","Approved symbol","FLI1","Fli-1 proto-oncogene, ETS transcription factor","HGNC:3749","11q24.3"
"FLI1","Alias symbol","FLII","FLII actin remodeling protein","HGNC:3750","17p11.2"
"SELPLG","Approved symbol","SELPLG","selectin P ligand","HGNC:10722","12q24.11"
"APOE","Approved symbol","APOE","apolipoprotein E","HGNC:613","19q13.32"
"PRKACB","Approved symbol","PRKACB","protein kinase cAMP-activated catalytic subunit beta","HGNC:9381","1p31.1"
"ALDH2","Approved symbol","ALDH2","aldehyde dehydrogenase 2 family member","HGNC:404","12q24.12"
"ZEB2","Approved symbol","ZEB2","zinc finger E-box binding homeobox 2","HGNC:14881","2q22.3"
"HAVCR2","Approved symbol","HAVCR2","hepatitis A virus cellular receptor 2","HGNC:18437","5q33.3"
"IRF5","Approved symbol","IRF5","interferon regulatory factor 5","HGNC:6120","7q32.1"
"HLA-DPA1","Approved symbol","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1","HGNC:4938","6p21.32"
"TGFBR2","Approved symbol","TGFBR2","transforming growth factor beta receptor 2","HGNC:11773","3p24.1"
"TYMP","Approved symbol","TYMP","thymidine phosphorylase","HGNC:3148","22q13.33"
"ZBTB12","Approved symbol","ZBTB12","zinc finger and BTB domain containing 12","HGNC:19066","6p21.33"
"DRAM1","Approved symbol","DRAM1","DNA damage regulated autophagy modulator 1","HGNC:25645","12q23.2"
"FAM69B","Previous symbol","DIPK1B","divergent protein kinase domain 1B","HGNC:28290","9q34.3"
"SAMHD1","Approved symbol","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1","HGNC:15925","20q11.23"
"CLEC2B","Approved symbol","CLEC2B","C-type lectin domain family 2 member B","HGNC:2053","12p13.31"
"STAB1","Approved symbol","STAB1","stabilin 1","HGNC:18628","3p21.1"
"ALOX5","Approved symbol","ALOX5","arachidonate 5-lipoxygenase","HGNC:435","10q11.21"
"VAMP5","Approved symbol","VAMP5","vesicle associated membrane protein 5","HGNC:12646","2p11.2"
"GIMAP4","Approved symbol","GIMAP4","GTPase, IMAP family member 4","HGNC:21872","7q36.1"
"ITGA4","Approved symbol","ITGA4","integrin subunit alpha 4","HGNC:6140","2q31.3"
"AIM1","Previous symbol","CRYBG1","crystallin beta-gamma domain containing 1","HGNC:356","6q21"
"FHDC1","Approved symbol","FHDC1","FH2 domain containing 1","HGNC:29363","4q31.3"
"NR3C1","Approved symbol","NR3C1","nuclear receptor subfamily 3 group C member 1","HGNC:7978","5q31.3"
"APOL1","Approved symbol","APOL1","apolipoprotein L1","HGNC:618","22q12.3"
"MANEAL","Approved symbol","MANEAL","mannosidase endo-alpha like","HGNC:26452","1p34.3"
"HLA-DRB5","Approved symbol","HLA-DRB5","major histocompatibility complex, class II, DR beta 5","HGNC:4953","6p21.32"
"MAF","Approved symbol","MAF","MAF bZIP transcription factor","HGNC:6776","16q23.2"
"HLA-DMB","Approved symbol","HLA-DMB","major histocompatibility complex, class II, DM beta","HGNC:4935","6p21.32"
"APBB1IP","Approved symbol","APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein","HGNC:17379","10p12.1"
"CMKLR1","Approved symbol","CMKLR1","chemerin chemokine-like receptor 1","HGNC:2121","12q23.3"
"MYO1F","Approved symbol","MYO1F","myosin IF","HGNC:7600","19p13.2"
"PTGS1","Approved symbol","PTGS1","prostaglandin-endoperoxide synthase 1","HGNC:9604","9q33.2"
"ITGAX","Approved symbol","ITGAX","integrin subunit alpha X","HGNC:6152","16p11.2"
"LAT2","Approved symbol","LAT2","linker for activation of T cells family member 2","HGNC:12749","7q11.23"
"LAT2","Alias symbol","SLC7A8","solute carrier family 7 member 8","HGNC:11066","14q11.2"
"GBP4","Approved symbol","GBP4","guanylate binding protein 4","HGNC:20480","1p22.2"
"HLA-DPB1","Approved symbol","HLA-DPB1","major histocompatibility complex, class II, DP beta 1","HGNC:4940","6p21.32"
"MPEG1","Approved symbol","MPEG1","macrophage expressed 1","HGNC:29619","11q12.1"
"EVI2B","Approved symbol","EVI2B","ecotropic viral integration site 2B","HGNC:3500","17q11.2"
"APOC1","Approved symbol","APOC1","apolipoprotein C1","HGNC:607","19q13.32"
"MMD","Approved symbol","MMD","monocyte to macrophage differentiation associated","HGNC:7153","17q22"
"TYROBP","Approved symbol","TYROBP","transmembrane immune signaling adaptor TYROBP","HGNC:12449","19q13.12"
"CYTH4","Approved symbol","CYTH4","cytohesin 4","HGNC:9505","22q13.1"
"IRF8","Approved symbol","IRF8","interferon regulatory factor 8","HGNC:5358","16q24.1"
"IRF1","Approved symbol","IRF1","interferon regulatory factor 1","HGNC:6116","5q31.1"
"TMTC4","Approved symbol","TMTC4","transmembrane O-mannosyltransferase targeting cadherins 4","HGNC:25904","13q32.3"
"NCKAP1L","Approved symbol","NCKAP1L","NCK associated protein 1 like","HGNC:4862","12q13.13-q13.2"
"B2M","Approved symbol","B2M","beta-2-microglobulin","HGNC:914","15q21.1"
"HLA-DRB1","Approved symbol","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","HGNC:4948","6p21.32"
"CSF1","Approved symbol","CSF1","colony stimulating factor 1","HGNC:2432","1p13.3"
"C3AR1","Approved symbol","C3AR1","complement C3a receptor 1","HGNC:1319","12p13.31"
"C2","Approved symbol","C2","complement C2","HGNC:1248","6p21.33"
"FCGR3A","Approved symbol","FCGR3A","Fc gamma receptor IIIa","HGNC:3619","1q23.3"
"GNG2","Approved symbol","GNG2","G protein subunit gamma 2","HGNC:4404","14q22.1"
"HLA-DQA1","Approved symbol","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1","HGNC:4942","6p21.32"
"PTK2B","Approved symbol","PTK2B","protein tyrosine kinase 2 beta","HGNC:9612","8p21.2"
"GPSM3","Approved symbol","GPSM3","G protein signaling modulator 3","HGNC:13945","6p21.32"
"MAFB","Approved symbol","MAFB","MAF bZIP transcription factor B","HGNC:6408","20q12"
"CTSD","Approved symbol","CTSD","cathepsin D","HGNC:2529","11p15.5"
"TRIM16L","Approved symbol","TRIM16L","tripartite motif containing 16 like (pseudogene)","HGNC:32670","17p11.2"
"TGM2","Approved symbol","TGM2","transglutaminase 2","HGNC:11778","20q11.23"
"CD74","Approved symbol","CD74","CD74 molecule","HGNC:1697","5q33.1"
"IL16","Approved symbol","IL16","interleukin 16","HGNC:5980","15q25.1"
"LAIR1","Approved symbol","LAIR1","leukocyte associated immunoglobulin like receptor 1","HGNC:6477","19q13.42"
"CLIC2","Approved symbol","CLIC2","chloride intracellular channel 2","HGNC:2063","Xq28"
"FOXO1","Approved symbol","FOXO1","forkhead box O1","HGNC:3819","13q14.11"
"SLC7A7","Approved symbol","SLC7A7","solute carrier family 7 member 7","HGNC:11065","14q11.2"
"C1QB","Approved symbol","C1QB","complement C1q B chain","HGNC:1242","1p36.12"
"IL10RA","Approved symbol","IL10RA","interleukin 10 receptor subunit alpha","HGNC:5964","11q23.3"
"RNF125","Approved symbol","RNF125","ring finger protein 125","HGNC:21150","18q12.1"
"CSF1R","Approved symbol","CSF1R","colony stimulating factor 1 receptor","HGNC:2433","5q32"
"PTPLAD2","Previous symbol","HACD4","3-hydroxyacyl-CoA dehydratase 4","HGNC:20920","9p21.3"
"PPM1K","Approved symbol","PPM1K","protein phosphatase, Mg2+/Mn2+ dependent 1K","HGNC:25415","4q22.1"
"KCNAB2","Approved symbol","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2","HGNC:6229","1p36.31"
"ABCA1","Approved symbol","ABCA1","ATP binding cassette subfamily A member 1","HGNC:29","9q31.1"
"RNASET2","Approved symbol","RNASET2","ribonuclease T2","HGNC:21686","6q27"
"RAP1GAP","Approved symbol","RAP1GAP","RAP1 GTPase activating protein","HGNC:9858","1p36.12"
"GBP2","Approved symbol","GBP2","guanylate binding protein 2","HGNC:4183","1p22.2"
"FKBP5","Approved symbol","FKBP5","FKBP prolyl isomerase 5","HGNC:3721","6p21.31"
"GIMAP5","Approved symbol","GIMAP5","GTPase, IMAP family member 5","HGNC:18005","7q36.1"
"SLCO2B1","Approved symbol","SLCO2B1","solute carrier organic anion transporter family member 2B1","HGNC:10962","11q13.4"
"TRPV2","Approved symbol","TRPV2","transient receptor potential cation channel subfamily V member 2","HGNC:18082","17p11.2"
"DPYD","Approved symbol","DPYD","dihydropyrimidine dehydrogenase","HGNC:3012","1p21.3"
"DOCK2","Approved symbol","DOCK2","dedicator of cytokinesis 2","HGNC:2988","5q35.1"
"CD37","Approved symbol","CD37","CD37 molecule","HGNC:1666","19q13.33"
"SMPDL3A","Approved symbol","SMPDL3A","sphingomyelin phosphodiesterase acid like 3A","HGNC:17389","6q22.31"
"SLC16A3","Approved symbol","SLC16A3","solute carrier family 16 member 3","HGNC:10924","17q25.3"
"C1QC","Approved symbol","C1QC","complement C1q C chain","HGNC:1245","1p36.12"
"HLA-DMA","Approved symbol","HLA-DMA","major histocompatibility complex, class II, DM alpha","HGNC:4934","6p21.32"
"C1orf162","Approved symbol","C1orf162","chromosome 1 open reading frame 162","HGNC:28344","1p13.2"
"WIPF1","Approved symbol","WIPF1","WAS/WASL interacting protein family member 1","HGNC:12736","2q31.1"
"PPAP2B","Previous symbol","PLPP3","phospholipid phosphatase 3","HGNC:9229","1p32.2"
"HCP5","Approved symbol","HCP5","HLA complex P5","HGNC:21659","6p21.33"
"HCP5","Alias symbol","CYCSP5","CYCS pseudogene 5","HGNC:24416","1q44"
"HLA-DQB1","Approved symbol","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1","HGNC:4944","6p21.32"
"RGS1","Approved symbol","RGS1","regulator of G protein signaling 1","HGNC:9991","1q31.2"
"MEF2C","Approved symbol","MEF2C","myocyte enhancer factor 2C","HGNC:6996","5q14.3"
"LSP1","Approved symbol","LSP1","lymphocyte specific protein 1","HGNC:6707","11p15.5"
"SASH3","Approved symbol","SASH3","SAM and SH3 domain containing 3","HGNC:15975","Xq26.1"
"RAC2","Approved symbol","RAC2","Rac family small GTPase 2","HGNC:9802","22q13.1"
"ST8SIA4","Approved symbol","ST8SIA4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4","HGNC:10871","5q21.1"
"PLEKHA2","Approved symbol","PLEKHA2","pleckstrin homology domain containing A2","HGNC:14336","8p11.22"
"C17orf37","Previous symbol","MIEN1","migration and invasion enhancer 1","HGNC:28230","17q12"
"CD4","Approved symbol","CD4","CD4 molecule","HGNC:1678","12p13.31"
"FAM78A","Approved symbol","FAM78A","family with sequence similarity 78 member A","HGNC:25465","9q34.13"
"C15orf38","Previous symbol","ARPIN","actin related protein 2/3 complex inhibitor","HGNC:28782","15q26.1"
"GIMAP6","Approved symbol","GIMAP6","GTPase, IMAP family member 6","HGNC:21918","7q36.1"
"GLRX","Approved symbol","GLRX","glutaredoxin","HGNC:4330","5q15"
"FYB","Previous symbol","FYB1","FYN binding protein 1","HGNC:4036","5p13.1"
"HLA-C","Approved symbol","HLA-C","major histocompatibility complex, class I, C","HGNC:4933","6p21.33"
"AIF1","Approved symbol","AIF1","allograft inflammatory factor 1","HGNC:352","6p21.33"
"CEBPA","Approved symbol","CEBPA","CCAAT enhancer binding protein alpha","HGNC:1833","19q13.11"
"CASP10","Approved symbol","CASP10","caspase 10","HGNC:1500","2q33.1"
"LILRB4","Approved symbol","LILRB4","leukocyte immunoglobulin like receptor B4","HGNC:6608","19q13.42"
"PRSS8","Approved symbol","PRSS8","serine protease 8","HGNC:9491","16p11.2"
"HLA-DRA","Approved symbol","HLA-DRA","major histocompatibility complex, class II, DR alpha","HGNC:4947","6p21.32"
"DOCK4","Approved symbol","DOCK4","dedicator of cytokinesis 4","HGNC:19192","7q31.1"
"PSMB10","Approved symbol","PSMB10","proteasome 20S subunit beta 10","HGNC:9538","16q22.1"
"SGPP1","Approved symbol","SGPP1","sphingosine-1-phosphate phosphatase 1","HGNC:17720","14q23.2"
"APOL6","Approved symbol","APOL6","apolipoprotein L6","HGNC:14870","22q12.3"
"TLR4","Approved symbol","TLR4","toll like receptor 4","HGNC:11850","9q33.1"
"TACC1","Approved symbol","TACC1","transforming acidic coiled-coil containing protein 1","HGNC:11522","8p11.22"
"DOK3","Approved symbol","DOK3","docking protein 3","HGNC:24583","5q35.3"
"ARVCF","Approved symbol","ARVCF","ARVCF delta catenin family member","HGNC:728","22q11.21"
"ZNF238","Previous symbol","ZBTB18","zinc finger and BTB domain containing 18","HGNC:13030","1q44"
"MANSC1","Approved symbol","MANSC1","MANSC domain containing 1","HGNC:25505","12p13.2"
"TMEM176A","Approved symbol","TMEM176A","transmembrane protein 176A","HGNC:24930","7q36.1"
"CYBB","Approved symbol","CYBB","cytochrome b-245 beta chain","HGNC:2578","Xp21.1-p11.4"
"BTN3A3","Approved symbol","BTN3A3","butyrophilin subfamily 3 member A3","HGNC:1140","6p22.2"
"ARHGAP4","Approved symbol","ARHGAP4","Rho GTPase activating protein 4","HGNC:674","Xq28"
"FCGR2A","Approved symbol","FCGR2A","Fc gamma receptor IIa","HGNC:3616","1q23.3"
"ALOX5AP","Approved symbol","ALOX5AP","arachidonate 5-lipoxygenase activating protein","HGNC:436","13q12.3"
"LAPTM5","Approved symbol","LAPTM5","lysosomal protein transmembrane 5","HGNC:29612","1p35.2"
"RAB20","Approved symbol","RAB20","RAB20, member RAS oncogene family","HGNC:18260","13q34"
"TMEM176B","Approved symbol","TMEM176B","transmembrane protein 176B","HGNC:29596","7q36.1"
"C1QA","Approved symbol","C1QA","complement C1q A chain","HGNC:1241","1p36.12"
"LRRC25","Approved symbol","LRRC25","leucine rich repeat containing 25","HGNC:29806","19p13.11"
"ARHGAP25","Approved symbol","ARHGAP25","Rho GTPase activating protein 25","HGNC:28951","2p13.3"
"SPI1","Approved symbol","SPI1","Spi-1 proto-oncogene","HGNC:11241","11p11.2"
"ARHGEF6","Approved symbol","ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor 6","HGNC:685","Xq26.3"
"SKAP2","Approved symbol","SKAP2","src kinase associated phosphoprotein 2","HGNC:15687","7p15.2"
"NFAM1","Approved symbol","NFAM1","NFAT activating protein with ITAM motif 1","HGNC:29872","22q13.2"
"BTN3A1","Approved symbol","BTN3A1","butyrophilin subfamily 3 member A1","HGNC:1138","6p22.2"
"SH3TC1","Approved symbol","SH3TC1","SH3 domain and tetratricopeptide repeats 1","HGNC:26009","4p16.1"
"RNF19A","Approved symbol","RNF19A","ring finger protein 19A, RBR E3 ubiquitin protein ligase","HGNC:13432","8q22.2"
"AKAP2","Approved symbol","AKAP2","A-kinase anchoring protein 2","HGNC:372","9q31.3"
"PLEK","Approved symbol","PLEK","pleckstrin","HGNC:9070","2p14"
"GMFG","Approved symbol","GMFG","glia maturation factor gamma","HGNC:4374","19q13.2"
"CADM4","Approved symbol","CADM4","cell adhesion molecule 4","HGNC:30825","19q13.31"
"SERPINA1","Approved symbol","SERPINA1","serpin family A member 1","HGNC:8941","14q32.13"
"LCP2","Approved symbol","LCP2","lymphocyte cytosolic protein 2","HGNC:6529","5q35.1"
"GPR155","Approved symbol","GPR155","G protein-coupled receptor 155","HGNC:22951","2q31.1"
"KIAA1549","Approved symbol","KIAA1549","KIAA1549","HGNC:22219","7q34"
"APOL3","Approved symbol","APOL3","apolipoprotein L3","HGNC:14868","22q12.3"
"EMP3","Approved symbol","EMP3","epithelial membrane protein 3","HGNC:3335","19q13.33"
"GPNMB","Approved symbol","GPNMB","glycoprotein nmb","HGNC:4462","7p15.3"
"IKBKE","Approved symbol","IKBKE","inhibitor of nuclear factor kappa B kinase subunit epsilon","HGNC:14552","1q32.1"
"DYRK3","Approved symbol","DYRK3","dual specificity tyrosine phosphorylation regulated kinase 3","HGNC:3094","1q32.1"
"UCP2","Approved symbol","UCP2","uncoupling protein 2","HGNC:12518","11q13.4"
"SLC39A8","Approved symbol","SLC39A8","solute carrier family 39 member 8","HGNC:20862","4q24"
"CD86","Approved symbol","CD86","CD86 molecule","HGNC:1705","3q13.33"
"PRDM1","Approved symbol","PRDM1","PR/SET domain 1","HGNC:9346","6q21"
"SPG20","Previous symbol","SPART","spartin","HGNC:18514","13q13.3"
"NCF4","Approved symbol","NCF4","neutrophil cytosolic factor 4","HGNC:7662","22q12.3"
"RNASE1","Approved symbol","RNASE1","ribonuclease A family member 1, pancreatic","HGNC:10044","14q11.2"
"RASSF7","Approved symbol","RASSF7","Ras association domain family member 7","HGNC:1166","11p15.5"
"CD53","Approved symbol","CD53","CD53 molecule","HGNC:1686","1p13.3"
"SLA","Approved symbol","SLA","Src like adaptor","HGNC:10902","8q24.22"
"SLA","Alias symbol","SEPSECS","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase","HGNC:30605","4p15.2"
"PLCB2","Approved symbol","PLCB2","phospholipase C beta 2","HGNC:9055","15q15.1"
"C1orf54","Approved symbol","C1orf54","chromosome 1 open reading frame 54","HGNC:26258","1q21.2"
"FERMT3","Approved symbol","FERMT3","FERM domain containing kindlin 3","HGNC:23151","11q13.1"
"ST6GALNAC4","Approved symbol","ST6GALNAC4","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4","HGNC:17846","9q34.11"
"SLC1A3","Approved symbol","SLC1A3","solute carrier family 1 member 3","HGNC:10941","5p13.2"
"CACNB3","Approved symbol","CACNB3","calcium voltage-gated channel auxiliary subunit beta 3","HGNC:1403","12q13.12"
"CPM","Approved symbol","CPM","carboxypeptidase M","HGNC:2311","12q15"
"BTN3A2","Approved symbol","BTN3A2","butyrophilin subfamily 3 member A2","HGNC:1139","6p22.2"
"LGALS9","Approved symbol","LGALS9","galectin 9","HGNC:6570","17q11.2"
"HCLS1","Approved symbol","HCLS1","hematopoietic cell-specific Lyn substrate 1","HGNC:4844","3q13.33"
"MDFIC","Approved symbol","MDFIC","MyoD family inhibitor domain containing","HGNC:28870","7q31.1-q31.2"
"INPP5D","Approved symbol","INPP5D","inositol polyphosphate-5-phosphatase D","HGNC:6079","2q37.1"
"PIM2","Approved symbol","PIM2","Pim-2 proto-oncogene, serine/threonine kinase","HGNC:8987","Xp11.23"
"TRPM2","Approved symbol","TRPM2","transient receptor potential cation channel subfamily M member 2","HGNC:12339","21q22.3"
"MSR1","Approved symbol","MSR1","macrophage scavenger receptor 1","HGNC:7376","8p22"
"CD300A","Approved symbol","CD300A","CD300a molecule","HGNC:19319","17q25.1"
"ITGAL","Approved symbol","ITGAL","integrin subunit alpha L","HGNC:6148","16p11.2"
"PITPNC1","Approved symbol","PITPNC1","phosphatidylinositol transfer protein cytoplasmic 1","HGNC:21045","17q24.2"
"FKBP11","Approved symbol","FKBP11","FKBP prolyl isomerase 11","HGNC:18624","12q13.12"
"FCER1G","Approved symbol","FCER1G","Fc epsilon receptor Ig","HGNC:3611","1q23.3"
"SLCO3A1","Approved symbol","SLCO3A1","solute carrier organic anion transporter family member 3A1","HGNC:10952","15q26.1"
"TBXAS1","Approved symbol","TBXAS1","thromboxane A synthase 1","HGNC:11609","7q34"
"SLC37A2","Approved symbol","SLC37A2","solute carrier family 37 member 2","HGNC:20644","11q24.2"
"TMEM149","Previous symbol","IGFLR1","IGF like family receptor 1","HGNC:23620","19q13.12"
